Generation,Best,Average,Min
1,6.333333333333333,2.042666666666667,0.0
2,5.666666666666667,2.262,0.0
3,5.666666666666667,2.207666666666667,0.0
4,9.666666666666666,2.336333333333333,0.6666666666666666
5,5.333333333333333,2.379333333333333,0.0
6,9.333333333333334,2.476666666666667,0.6666666666666666
7,8.666666666666666,2.657,0.6666666666666666
8,10.333333333333334,2.731666666666667,0.6666666666666666
9,10.666666666666666,2.994666666666667,0.0
10,11.333333333333334,3.557666666666667,0.6666666666666666
11,10.333333333333334,4.311666666666666,0.6666666666666666
12,11.0,5.434333333333334,1.0
13,11.666666666666666,6.317,1.3333333333333333
14,12.0,7.491333333333334,1.6666666666666667
15,11.0,7.753,1.3333333333333333
16,18.666666666666668,8.033,2.0
17,22.0,8.259,2.3333333333333335
18,24.333333333333332,8.377666666666668,1.6666666666666667
19,37.0,8.818333333333332,2.0
20,32.666666666666664,9.277,2.0
21,44.0,11.543333333333333,1.3333333333333333
22,57.0,14.694333333333335,2.0
23,48.0,19.21033333333333,1.6666666666666667
24,44.0,23.662333333333333,2.3333333333333335
25,87.33333333333333,25.300333333333334,2.6666666666666665
26,54.333333333333336,25.723333333333336,2.3333333333333335
27,43.666666666666664,25.209666666666667,1.6666666666666667
28,125.66666666666667,27.081333333333337,1.6666666666666667
29,56.0,27.503666666666668,2.0
30,57.666666666666664,27.685666666666663,2.0
